S.no.,Name,Runs,Matches,Innings,Not out,Highest Score,Average,Balls Faced,Strike rate,100,50,4s,6s
86,"Rahmanullah Gurbaz
",62,3,2,0,39,31,46,134.78,0,0,7,4
87,"Mitchell Marsh
",61,4,4,0,23,15.25,38,160.52,0,0,9,3
88,"Atharva Taide
",61,2,2,0,46,30.5,39,156.41,0,0,7,2
89,"Romario Shepherd
",57,6,5,3,39*,28.5,21,271.42,0,0,5,5
90,"Glenn Maxwell
",52,10,9,0,28,5.78,43,120.93,0,0,6,2
91,"Sameer Rizwi
",51,8,5,1,21,12.75,43,118.6,0,0,4,2
92,"Tom Kohler- Cadmore
",48,4,3,0,20,16,54,88.88,0,0,7,1
93,"Kuldeep Yadav
",47,11,5,2,35*,15.67,41,114.63,0,0,6,1
94,"Sikandar Raza
",43,2,2,0,28,21.5,38,113.15,0,0,2,2
95,"Manish Pandey
",42,1,1,0,42,42,31,135.48,0,0,2,2
96,"Azmatullah Omarzai
",42,7,4,0,17,10.5,33,127.27,0,0,2,2
97,"Nitish Rana
",42,2,2,0,33,21,34,123.52,0,0,5,1
98,"Devdutt Padikkal
",38,7,7,0,13,5.43,53,71.69,0,0,3,0
99,"Swapnil Singh
",37,7,5,3,15*,18.5,21,176.19,0,0,3,3
100,"Mohammad Nabi
",35,7,5,1,23,8.75,31,112.9,0,0,2,2
101,"Shubham Dubey
",33,4,3,1,25,16.5,19,173.68,0,0,3,2
102,"Karn Sharma
",31,9,3,0,20,10.33,15,206.66,0,0,2,3
103,"Rasikh Salam
",28,8,4,0,10,7,30,93.33,0,0,4,0
104,"Kane Williamson
",27,2,2,0,26,13.5,27,100,0,0,4,0
105,"Harpreet Bhatia
",27,2,2,0,14,13.5,34,79.41,0,0,2,0
106,"Suyash S Prabhudessai
",24,1,1,0,24,24,18,133.33,0,0,3,0
107,"Jaydev Unadkat
",24,11,5,2,8*,8,26,92.3,0,0,2,1
108,"Tanush Kotian
",24,1,1,0,24,24,31,77.41,0,0,3,0
109,"Bhuvneshwar Kumar
",23,16,5,2,13,7.67,29,79.31,0,0,3,0
110,"Yudhvir Singh
",21,2,2,0,14,10.5,14,150,0,0,1,2
111,"Rahul Chahar
",21,9,2,1,16,21,15,140,0,0,3,1
112,"Shardul Thakur
",21,9,3,2,17,21,17,123.52,0,0,2,1
113,"Ashton Turner
",21,2,2,0,16,10.5,18,116.66,0,0,0,2
114,"Kagiso Rabada
",20,11,3,2,11*,20,14,142.85,0,0,0,2
115,"Gulbadin Naib
",19,2,1,0,19,19,15,126.66,0,0,1,1
116,"Marco Jansen
",18,3,2,1,17,18,13,138.46,0,0,1,1
117,"Saurav Chauhan
",18,3,3,0,9,6,15,120,0,0,1,1
118,"Sumit Kumar
",18,4,3,1,9*,9,24,75,0,0,2,1
119,"Piyush Chawla
",15,11,6,2,10,3.75,15,100,0,0,1,1
120,"Sanvir Singh
",14,4,3,2,8*,14,12,116.66,0,0,1,0
121,"Trent Boult
",14,16,5,3,12,7,16,87.5,0,0,2,0
122,"Mitchell Santner
",14,3,3,0,11,4.67,17,82.35,0,0,1,0
123,"Gerald Coetzee
",14,10,5,1,8,3.5,22,63.63,0,0,0,1
124,"Sai Kishore
",13,5,2,1,13,13,6,216.66,0,0,0,2
125,"Harshal Patel
",13,14,4,1,12,4.33,19,68.42,0,0,1,1
126,"Mohammed Siraj
",12,14,3,1,12,6,8,150,0,0,0,2
127,"Darshan Nalkande
",12,3,1,0,12,12,11,109.09,0,0,0,1
128,"Jasprit Bumrah
",12,13,4,4,8*,-,12,100,0,0,1,0
129,"Umesh Yadav
",12,7,2,1,10*,12,15,80,0,0,0,1
130,"Avesh Khan
",10,16,3,3,7*,-,5,200,0,0,1,0
131,"Lalit Yadav
",10,2,2,0,7,5,12,83.33,0,0,1,0
132,"Luke Wood
",9,2,1,1,9*,-,3,300,0,0,0,1
133,"Arshin Atul Kulkarni
",9,2,2,0,9,4.5,8,112.5,0,0,2,0
134,"Mitchell Starc
",9,14,5,3,6*,4.5,11,81.81,0,0,1,0
135,"Abhinav Manohar
",9,2,2,0,8,4.5,16,56.25,0,0,1,0
136,"Donovan Feeira
",8,2,2,0,7,4,11,72.72,0,0,0,0
137,"Vijayakanth Viyaskanth
",7,3,1,1,7*,-,5,140,0,0,0,0
138,"Spencer Johnson
",6,5,3,3,5*,-,7,85.71,0,0,1,0
139,"Anmolpreet Singh
",5,2,2,0,5,2.5,6,83.33,0,0,1,0
140,"Noor Ahmad
",5,10,4,2,4,2.5,9,55.55,0,0,1,0
141,"Arshdeep Singh
",4,14,1,0,4,4,3,133.33,0,0,1,0
142,"Akash Madhwal
",4,5,1,1,4*,-,5,80,0,0,0,0
143,"Matthew Wade
",4,2,1,0,4,4,6,66.66,0,0,0,0
144,"Ravi Bishnoi
",4,14,3,0,2,1.33,6,66.66,0,0,0,0
145,"Anrich Nortje
",4,6,2,0,4,2,8,50,0,0,0,0
146,"Mohit Sharma
",4,12,3,1,4,2,15,26.66,0,0,0,0
147,"Anukul Roy
",3,4,1,1,3*,-,3,100,0,0,0,0
148,"Reece Topley
",3,4,1,1,3*,-,6,50,0,0,0,0
149,"Kumar Kushagra
",3,4,3,0,2,1,7,42.85,0,0,0,0
150,"Mukesh Kumar
",3,10,2,1,3,3,9,33.33,0,0,0,0
151,"Ricky Bhui
",3,2,2,0,3,1.5,9,33.33,0,0,0,0
152,"Mohsin Khan
",2,9,1,0,2,2,1,200,0,0,0,0
153,"Richard Gleeson
",2,2,1,1,2*,-,2,100,0,0,0,0
154,"Jhye Richardson
",2,1,1,0,2,2,2,100,0,0,0,0
155,"Anshul Kamboj
",2,3,1,1,2*,-,2,100,0,0,0,0
156,"Akash Deep
",2,1,1,1,2*,-,2,100,0,0,0,0
157,"Shivam Singh
",2,1,1,1,2*,-,3,66.66,0,0,0,0
158,"Naveen-Ul-Haq
",2,10,3,3,2*,-,4,50,0,0,0,0
159,"B R Sharath
",2,1,1,0,2,2,5,40,0,0,0,0
160,"Vaibhav Arora
",1,10,2,2,1*,-,1,100,0,0,0,0
161,"Shams Mulani
",1,2,1,1,1*,-,1,100,0,0,0,0
162,"Lockie Ferguson
",1,7,1,0,1,1,1,100,0,0,0,0
163,"Lizaad Williams
",1,2,1,1,1*,-,2,50,0,0,0,0
164,"Keshav Maharaj
",1,2,1,0,1,1,2,50,0,0,0,0
165,"Manav Suthar
",1,1,1,0,1,1,2,50,0,0,0,0
166,"Vyshak Vijaykumar
",1,4,2,1,1*,1,3,33.33,0,0,0,0
167,"Ishant Sharma
",1,9,2,2,1*,-,7,14.28,0,0,0,0
